"Date","Amount","ClearedStatus","Number","Payee","Memo","Category"
"1/1/2008","1500","","","Paycheck","","Income.Salary"
"2/1/2008","1500","","","Paycheck","","Income.Salary"
"3/1/2008","1500","","","Paycheck","","Income.Salary"
"4/1/2008","1500","","","Paycheck","","Income.Salary"
"5/1/2008","1500","","","Paycheck","","Income.Salary"
"6/1/2008","1500","","","Paycheck","","Income.Salary"
"7/1/2008","1500","","","Paycheck","","Income.Salary"
"8/1/2008","1500","","","Paycheck","","Income.Salary"
"9/1/2008","1500","","","Paycheck","","Income.Salary"
"10/1/2008","1500","","","Paycheck","","Income.Salary"
"11/1/2008","1500","","","Paycheck","","Income.Salary"
"12/1/2008","1500","","","Paycheck","","Income.Salary"
"4/15/2008","1500","","","Bonus Paycheck","","Income.Bonus"
"10/25/2008","4000","","","Bonus Paycheck","","Income.Bonus"
"3/9/2008","50","","","Gift from Grandma","","Income.Gifts Received"
"8/4/2008","150","","","Gift from Grandma","","Income.Gifts Received"
"10/10/2008","50","","","Gift from Grandma","","Income.Gifts Received"
"1/20/2008","-98","","","Payment to Credit Card","","Liabilities.Credit Card"
"2/17/2008","-134","","","Payment to Credit Card","","Liabilities.Credit Card"
"3/18/2008","-245","","","Payment to Credit Card","","Liabilities.Credit Card"
"4/11/2008","-147","","","Payment to Credit Card","","Liabilities.Credit Card"
"5/16/2008","-178","","","Payment to Credit Card","","Liabilities.Credit Card"
"6/17/2008","-109","","","Payment to Credit Card","","Liabilities.Credit Card"
"7/12/2008","-245","","","Payment to Credit Card","","Liabilities.Credit Card"
"8/10/2008","-231","","","Payment to Credit Card","","Liabilities.Credit Card"
"9/7/2008","-289","","","Payment to Credit Card","","Liabilities.Credit Card"
"10/15/2008","-138","","","Payment to Credit Card","","Liabilities.Credit Card"
"11/17/2008","-252","","","Payment to Credit Card","","Liabilities.Credit Card"
"12/10/2008","-335","","","Payment to Credit Card","","Liabilities.Credit Card"

